id	summary	text	category
15	Solved my media issue	This device enabled me to get over a particular hurdle with regard to transference of DVR'd material to disc, for permanence as well as portability, i.e., it has become an excellent 'middleman' between my DVR and PC. The VC500 is truly a terrific gadget!	0
16	Jarv NMotion Sports Wireless BT	I was suprised by how well this product works.  My only criticism is about the earbuds.  None of them fit me perfectly.  If it was secure in my ear, I could appreciate the noise-isolation feature more.  The ear hooks work well enough that it won't fall off.  This product works better when the wire is in front of you rather than behind the neck.	1
17	This thing is awesome	I love my Chromebook so far, as a college student It is a wonderful thing to have because its battery lasts for more than long enough for me to get through the day and then some. the keyboard has a nice feel as well as the touchpad gestures being so helpful. I would however caution new purchasers that this is not something i would recommend as getting instead of a standard pc, but if you already have one this is great because chrome remote desktop allows me to remote into my other pc to do anything i couldn't do on the chromebook	0
18	Great case	Used for ASUS A55VD-AH71 15.6-Inch Laptop, and it fits perfectly.  Protects laptop well and feels like it is sturdy,  I use this to actually put the laptop into another backpack and it works great.  Feels like there is more than adequate protection for it.	0
19	Surprising results	It took me all of 30 minutes to get used to this new shape.  It help my wrist feel much better.  By that night I was looking to make some modifications.  Nothing wrong with the product but I generally find that most mice don't fit my hand that well.  I have short finger I guess, and usually have to really extend my fingers to comfortably use any pointing device for any length of time.  What I did was to temporarily attach a piece of dense rubber (3/8&#34; thick foam matting) to the back end of the mouse.  This creates a kind of ledge on which I can rest my palm and hold my hand higher on the mouse.  The buttons feel kind of stiff, but may be because it is new, hopefully they will loosen up.  The stiffness of the mouse buttons is why I didn't give this product 5 stars	1
20	Works as it should	The cable works.  It's not steel.  I know a lot of reviewers made note of the fragility of the connectors, but if you use it carefully, it works.  No, you can't attach it to a flash bracket with a flash and swing it around like a baseball bat, but if you take care (as I do with all equipment) it operates as it should.  I prefer canon branded equipment whenever I can afford because it's typically better constructed and this is no different.	0
21	Does what it is supposed to do	Works well, price is high for what it is. Should be like $50 In my opinion.  Tap power button for brightness control. Hold power button to turn on and off.	0
22	Great little camera ...	This is the second IP camera I bought, the first one was a stationary D-Link model (poor video, no pan/tilt, no wireless).The FI8910W has proven to be very easy to setup and operate.I can imagine though that remove access and the almost required use of services like DynDNS can be confusing for the less experienced computer users.Plenty of apps out there for both iPhone, iPad (love FoscamPro by Logic Conculting LLC - $4.95 if I recall correctly) and Android that work great with the FI8910W.Note: QNAP NAS devices now seem to support the FI8910W - although I could not test this (not a Windows user, and QNAP Surveillance Station only works with Internet Exploder).A few things you might want to know;- video is only MJPEG 640x480,- pretty good picture quality- Infrared (night vision) is very reasonable for indoor use.- you first need to set everything up using a wired network connection- Remote access (ie. not at home) requires a service like DynDNS- Webinterface does the trick but is not exactly great- the camera's a bigger than expect (but that's OK)So far I love the set I bought to monitor my sick dog. Presets (positions; both pan and tilt) in the webinterface and the FoscamPro iPhone app work great.I can highly recommend the FI8910W camera's.Note: If Foscam releases a h264 model of the FI8910W then I most certainly will get those (better video compression - ie. less fast connection needed to get a reasonable image).Current Foscam h264 models all appear to be compared to the FI8910W, and most users complain that they like the FI8910W better.	0
23	Get the Panasonic Brand	battery is not very efficient at  holding charge.  disapates rapidly and is generally no a reliable backup battery.  Would not recommend.	1
24	great key that doesn take up too much room	The problem with my macbook pro is that when you put a usb key (most anyway) the usb port next to it is blocked.This one is supper thin and perfect.Ive been using it a lot and have found no issues.and it was the cheapest I had found (24 bucks for a 64gb)	0
25	Good for price	I owned another Olympus which was broken and needed to replace with a simular one.  Not as happy with this one.  Takes good pictures but does not have a good zoom.  Hopefully this one will not break as easily as my other one.	1
26	Excellent	Have been using it for several years, still works like a champ!  Garmin should make this the standard offering with their watches.	0
27	Great upgrade for a mid-2012 MacBook Pro	Added incredible amount of speed to my mid-2012 MacBook Pro. I am assuming that Apple installed 5400 rpm drives in their MacBook Pro line to help with battery life - I have experienced no change in battery performance with this new disk installed. Most importantly, it allows me to run Windows 7 in VMWare Fusion pretty fast. I used to dread firing up the Win7 VM for something work-related I can't do on the Mac, now it's like I have two computers in one.	0
28	WELL WORTH THE $$	Works Great for our 2008 Honda Odyssey EXL.  We have 3 kids and only 2 came with van.  5 Stars for a great product that is reasonably priced.  way better then paying 5X for the Honda version.  I will be buying again if we ever nee more.	0
29	False advertising	"7200mAh 9 Cells Replacement Dell Inspiron 1525 1526 series Laptop Battery fits RN873 GP952 M911 X284G series Laptops""""w/a AGPtek USB2.0 All In One Card Reader""""Got the battery not the card reader! Hey, at least I got the battery lol"	1
30	Lame get a roku or WD streaming box	Blows. Nothing like the TV comercial lag on a 1300mbps fast wireless is horrible.  get a roku or WD streaming box, they are more money but in this case cheaper is not better	1
31	Good speed and performance	Works well with my dslr. Have never been able to fill it. I guess 16gb would be enough for average use. Go for faster speeds and smaller size.	0
32	Works great!	"I was looking for a way to make my iPod play through a boombox or speakers.  This worked perfectly.  Just connect the dock to your iPod and the other end to a ""line in"" on whatever you want the sound to come out of, and it works great.  Sound quality is as good as you will get with a stereo plug."	0
33	worth it	Just wish the case had a keyboard option.  It is all you need for your tablet in one kit. Buy it.	0
34	It works, it doesn't work much better than another antena I had	I had to put it on a cookie sheet to get it to work.Add that to the cost of making this work and there you have it.	0
35	Awesome camera	It's awesome camera to use. Picture quality is good. I like this camera settings and even video also very nice.	0
36	Good price for good product	Very good price comparing with the manufature list price. Fast deliveryfrom the seller. Recommend for one with Magellan 1475T.	0
37	Very Easy To Use - Pretty Good Quality	I have only used this a few times so far, but the ease of use is great! This is not for recording HD images to show on a big screen, but to create decent quality videos you want to post online or make your own DVD movies.Just plug in the USB connection to your computer and the software, saved on the camera, is loaded and run.There are only two things that I'd love to see: a wider zoom range and a soft USB cable connection so the camera can rest on the desk while you have it hooked up. I would strongly recommend buying one so you don't risk damaging the camera while it is plugged in.	1
38	Perfect	Does what it says it does.  Works perfectly in my Xbox Slim and now I have the ability to add more games.	0
39	Seagate	I am very pleased with the Seagate external hard drive..The product arrived on time and was as described	0
40	tiny footprint, mega sound!	I kind of love this lil' guy!  Extremely portable and lightweight,  It sounds surprisingly loud and clear considering it's small size; i don't hear the tinniness i've heard in other generations of these types of small speakers.  construction appears to be sturdy.Setup was utterly simple.  I charged it (it was fully charged in an hour or so), and pairing took about 25 seconds.  brilliant!  I can't yet speak to it's battery life and will update the review if it sucks.I'm happy as a clam with this speaker!  I envision using it my bedroom, popping it into my bag and taking it to work, maybe even clipping it on and going on hike with it just because i can.  Buy one!	0
41	good camera.	Good camera for the price. I gave it 4 star because it doesn't have a spring on the battery door.	1
42	well built piece of equipment	this cable works as it should and seems to be well made. I have used it for several weeks now and have no complants.	0
43	Wrong item recieved... twice	I ordered the Philips HS500.  I received the Philips SHS5200, which is a MUCH cheaper headphone.  I notified Amazon that I received the wrong item.  They sent me a replacement which was another set of the SHS5200.  I called Amazon customer support and got a refund.  Don't order this item unless you want to pay twice as much as for a set of Philips SHS5200.	1
44	Wimpy battery, front LCD is unique but a hassle	This is probably a great camera for people who just need a point and shoot to take snapshots now and then, and the front-facing LCD is handy if you can deal with its quirks.But after having it a few months I'm just not that impressed. Here's what I don't like:- Wimpy battery - on my last outing it conked out after about 110 shots, none with flash, only a handful with both front and rear LCD on, and with the battery fully charged the night before.- The front LCD is a hassle to use; it always starts up in a mode where it only will automatically shoot when it detects a smile, and it's touch-sensitivity is pretty poor.- Macro mode (close-up) doesn't work very well, many shots end up out of focus.- The USB/charging cable is a proprietary cable, so that's one more cable to keep track of and maybe lose.On the upside, there are some pluses which could make up for the problems for a lot of folks:- If you must have a camera with a front LCD, this is one of the few out there. The front LCD will even show funny faces accompanied by silly noises to get kids to smile.- It's small and light.- The lens doesn't extend/retract, so it's less likely to get damaged.- It has a lot of scene modes.- It charges from USB.- The pictures look fine, but like most point-and-shoots, they are a tiny bit overexposed if you use auto mode.P.S. Before getting this camera I was quite happy with my Canon SD1200IS, but I really wanted a front LCD to take those occasional shots of me and my partner on vacation kind of stuff. Unfortunately, about the *only* thing this Samsung has over the Canon is the front LCD (and more megapixels, though that's not as important to me). In other respects I think the Canon's superior.	1
45	Excellent quality - AND, will fit if you have small inner ears!	"Seriously...these are the first buds I've ever been able to fit inside my ears - they stay put and don't fall out!  Very comfortable to wear, the foam padding helps drown out exterior noise so you can concentrate on the exceptional sound quality these ear buds produce.  The cable from the 1/8"" connector to the ""Y"" measures 36"", while the rest of the cable to each ear measures 16"" long. There is a tiny ""clothespin"" to keep it attached to your clothing.  I'm using this with an LG840G Tracfone, it works great.  Sound quality is excellent, the bass is deep, rich and not muddy, the treble is crisp and clean. Listening to music through these ear buds I'm hearing notes I never have heard prior to this on my expensive home stereo. In addition to a zippered storage case, there are extra ear tips in various sizes to fit most any size ear."	0
46	Fantastic Camera	I've always been interested in the Canon PowerShot, and I'm pleased that I got it. This camera is great for any photographer, with it's terrific zooming capabilities and it's editing abilities. If you have the likes ofNew 32gb Micro Sd Card Sdhc Tf Flash Memory Card 32gb Class 10, New! Usa!, the you should be set when it comes to memory. Aside from, I can't think of a better camera to have around then this Canon.	0
47	Much better than my old GPS.	We had a outdated Sony GPS unit which worked well, but no longer had the ability to be updated. This unit is great, easy to program, and we can get free updates forever.  We love it and may buy a second for our other car.  John	0
48	Seems like a good enclosure, but I couldn't use it	As far as I know this enclosure would work wonderfully - I just didn't have the right kind of laptop drive actually to use it.  For the uninitiated (as I was), this is for SATA drives ONLY.  The drive I was trying to use was ATA, so I needed a different product.	0
49	Easy to use and also records from antenna	Only draw back is when you have a power failure you must reboot. This takes time so I added a battery backup and that solves the problem.The wife has learned real fast on all the features it has and is on it each and every day.  She cannot live without it.	0
50	IT PROTECTS YOU BY KEEPING YOU AWAKE!!!	"This product re-defines the phrase ""CHEAPLY MADE"" It is also extremely sensitive (no sensitivity adjustment) rendering it, in my view, impracticable.  Any small vibration sets it off! Someone walking or talking a little too hard on the hallway, a car alarm, and forget about it if you like to crack a loud gaseous one while you're sleeping. The darn thing will wake you up in a panic as a reminder not to contaminate the air again. It also goes off when you touch it, like to turn it off or change the sound. I threw mine from the hotel window and felt good when i saw it break in many pieces, upon impacting the roof of the adjacent building. Then I was able to go to sleep happily uninterrupted."	1
51	What's not in the box	I love my new camera, and at such a great price!  It arrived very quickly, too.  Just so you know, this camera box does not come with a camera case or a memory card, and the camera only holds about 5 photos without a memory card.  It appears that memory cards START at $15.  The box does include a battery, battery charger, USB cable, AV cable, and hand strap, and some software.  The battery needs to be charged for 2 hours before use.	0
52	Great Camera for Price	If you're looking for an inexpensive camera and fully automated to take the guess work out of photography, then this might be the one for you. Takes clear and crisp photos, which sometimes in the past has been a problem for this novice photographer. I like the simplicity of it, terrific for the casual photographer who wants to take family or event shots to capture the moment. The price was right, no shipping charge and as an added plus, always no sales tax with Amazon. Doesn't get better than that in the retail market.	0
53	Great Sony Card.	I have had no issues with this card at all.  I recently got a new 16.2MP Sony Cybershot DSC-WX9.  I had no issues installing this card, and it holds a great deal of high quality and 3D pictures and video.  Surprisingly my HP card reader that is built into my computer accepts this and reads this card without any trouble.  Even if the computer didn't read the card I could just as easily use the USB cable to import the photos and video.I recommend this card if anyone thinks about buying it, but make sure your device supports Pro-HG Duo HX memory before placing the order.  From what I understand this card is not completely interchangeable with other Memory Stick types.	0
54	Quick and easy (Win7 and a small network)	My old D-Link print server died so I purchased this TrendNet (wired) print server based on reviews.Setup between my network, Win7 computer & Oki Microline 320 printer was quick and easy.  Up and running within 10 minutes.	0
55	Pricey but best quality	I was hesitant to purchase based on the price but I'm glad I did.  I'm pretty picky about my ride so quality is very important.  Had tried several different mounts for Beltronics and could never find one I felt was ideal.  And then there's the hassle with power cords.  Got the mount and the mirror tap for 07 Dodge Ram.  Right out of the box, could tell that quality was awesome.  If I had my own machine shop, this is how I would do it.  Fit is perfect, installation was easy and the end result is perfect placement and rock solid with no ugly exposed wires.	0
56	Stays on real good	Either a cover fits or not, stays secure or not. This one does exactly what it's supposed to. Very secure and protects well.	0
57	Nice Bright Blue Fan	Very very nice looking fan. I bought it for my new computer build with the Corsair Obsidian case and was going to put the fan in the front. Unfortunately, the fan was too thick to have it placed in the front because the hard drive bays were in the way. Instead I placed the fan on top of the case bringing cool air from above. So that is pretty much the only con about this fan, other than the noise. The fan is probably the loudest fan on my machine, which is okay for me but it depends on you. The fan is distributes cool air in to the machine, which is pretty obvious. If you're looking for a fan that is kind of noisy and want to have a cool look to your case, then this is the one. For more reviews, and unboxings, please visit my YouTube channel by placing this at the end of the YouTube url /darken731. Thanks!	1
58	Less than stellar	Bought this hoping to step up from my laptop built in camera. Can't say i'm happy with it.Positive:* Looks good* With good lighting and right software/config the picture is goodNegative:* Pain to install, software is clumsy and slow* Doesn't work with Mac* HD in Skype is fiddly and unreliable (yes, i know it's a hack, but still, it's one of the primary uses for any webcam, so...)* Couldn't get HD video to work in messenger either* Low light performance is better than my old webcam, but still not good (there is a definite lag in low light conditions)Bottom line: if you are looking for an HD webcam that you can just plug in and get on with it - look elswhere. If you are an IT guy with time to spare and likes the challenge - then this one is right up your alley.	1
59	Good Idea -- Flimsy quality.	Well First of all, if you buy a slim drive most likelly its because you plan to carry it around but the case of this drive is just too weak. if you hold it by the top to close the drive, the plastic is so weak it bends down preventing the drive from closing. The drive inside it was a Sony drive, but for some reason, it WONT read CDRW disks unless you use the external AC adapter (tried with several systems and all possible solutions found in forums including firmware updates). Now some good things: basically no problem to get it recognized by XP, Very quiet operation (considering other laptop drives i've heard). Conclusion: Not recomended unless you are a very very careful person and dont want to use it to write or read cds (DVDs work great)	1
60	This helped get rid of cable	I got this Roku as a surprise gift just as I was deciding to get rid of cable tv...that was the best decision I have made. I was able to set this up very quickly to recognize our wireless network. There are a ton of channels available and numerous private channels also available, I can access all major networks as well as Netflix and Amazon prime videos, I have never had any problems streaming anything thus far. I use this primarily to stream netflix and listen to pandora-- I have also added a number of the private channels e.g. NASA Tv which was a big draw for our 3 year old to watch the shuttle take off and see what was going on in space. There are a number of channels you can subscribe to for premium content, e.g. cable networks and HULU plus, I have not done any of those yet but based on what I see thus far it would be a huge bonus and still way cheaper than the 65 dollars I was spending on just basic cable.The Roku itself is very small, maybe 6x6, I do note that it always seems warm--I have yet to notice it getting extremely hot and it hides away very nicely next to the DVD player.  If you are contemplating getting one, I highly recommend. The online Roku site is pretty good but you will find your best information in other forums especially for private channels.	0
61	First Morning and Couldn't Be Happier	So I'm a huge Zune fan, and I have a lot of products made by them and I haven't had one go wrong yet.  So I wondered if there were any other products I could find to make life easier and go figure I found another product that doesn't disappoint.  I would go to iHOME to get this product because average shipping time is 1 to 2 months and nobody wants to wait that long.  iHOME will get it to you within a week at best.  I got the Zune Alarm Clock and here are my reasons why any Zune fan should get this product.--- Sleek, and stylish design / Different settings for brightness for a better undisturbed sleep.  Also multiple mounts for different Zunes.--- User Friendly / Button placement is easy to understand and use.--- Alarm Functions / 2 different alarm functions 2-5-7 days setting, Wake to Zune, Buzzer, or Radio.--- Sound Quality / For the alarm itself the volume starts at 0 and gradually goes up to make sure your able to hear it.  It's nice to not have to set your alarm volume and have the problem that it's to loud or soft.  The overall sound quality is just great I haven't had an alarm clock that was this good for sound.--- Remote accessory / I think it's a tad overkill for a alarm clock but it's nice hit snooze via remote.  Also for just listening, like with the stereo docking port with remote package.Notice:  I don't think it's a bad feature but to ensure your Zune plays the right music for your alarm, make a playlist called alarm or alarm clock, and make sure it's on that playlist or song before you you go to sleep so that suites your waking needs.I personally think this is a great product and a lot better than the CD Alarm clocks.  The reason why I say this is the ones I've had when the volume is to high the CD will skip or not play but if you're using an MP3 Player then there's nothing that'll skip or not read.  All in All this is a great product and I would deffinatly say buy it.	0
62	Just works	Works fine with my Nikon D5100. I don't use the wire on the outside to make use of the wireless remote receiver on the bottom. Have not had any problems with it. Have not used it terribly that much though. The Nikon batteries last longer than I expected. I buy them through theMilitary exchange website and their only $27.00 for the real Nikon ones. So I have not tried the fool the camera thing by putting a factory battery before a non one thing.	0
63	does what it's supposed to do.	This lens hood fits my 55mm mount Sony a55.  Works fine. looks cool. (which is important, in the world of amateur photography).  Confession time: I rarely find situations where I have glare situation that really needs a hood.  But you gotta have one of these if you wanna look pro, amiright?	0
64	I like it	It is reasonably heavy duty.  The design allows you to customize the inside to meet your particular needs.  Fairly heavy duty.	0
65	EXCELLENCE	im not sure what others say but this drive rocks in real world applications your benchmarks might not read 500up 500down but it definitely kicks some serious butt. ive tried multiple ssd and i would have to give this one the highest ranking in performance in real world applications games movie encoding boot up times 12 sec if you want faster get a highpoint 2720 sgl rocket raid card and raid 3 or more of these together and you will see performance unlike anything you can imagine, but boot up takes longer bout 10-12 sec longer but once your in nothing can slow your drives down. dont hesitate 100 bucks for 128 gb with 5 year warranty its a no brainer.	0
66	Works as Promised	Got this so that I could project from my Lenovo Yoga 13 laptop that only has HDMI out. Tested it, worked perfectly.	0
67	Fail	Fail.  This only worked for a short while and the sound quality was horrible.  Sound got static-y and then faded to nothing.  The retractable feature is nice, but that's about it....	1
68	Fantastic!	A must for all who would like to copy drives. No instructions needed. Very easy to use and convenient! Would recommend to all!	0
69	Perfect	I needed a USB extension cable for my printer since after loading WIN8 on my PC I was not able to use the network interface anymore.  I ordered this cable and it worked perfectly	0
70	Inconsistent Behavior	I thought my SD card in my camera was going bad because some of my pictures wouldn't transfer or would come out corrupted. Turns out it only happened when I used this particular adapter. Other adapters and transferring with a USB cable directly connected to the camera didn't exhibit the same behavior. It's nice and compact, but I don't use it because it's unreliable.	1
71	Great Cable at a GREAT Price	I have bought many of these and they are EXCEPTIONAL cables for the money.  I do not see the point in spending more for a cable then what you pay for these.  I have had zero problems.	0
72	ok,but	This arrived and works well, however: As mentioned by others the on button on one of the devices is not accessible, the directions and other reviews mention padded labels. I find none. They also refer to a web page which is not accessible either. Annoying.	1
73	Not as good as advertised	I live 20 to 40 miles from my local stations, though there are others in the 65 mile range advertised. I've been using an old channel master uhf/vhf and expected much better reception with the antenna I purchased. Picture quality and signal strength dropped significantly when I installed the new antenna. I was extremely disappointed but will admit that Amazon was behind the return process 100%.	1
74	Lemons abound	This camera is terrible. A few weeks after ordering, the picture turned red and won't return to fully colored. Googling the problem, it's quite widespread. Dont' waste $20.	1
75	Good Value for the Price	Comfort is the first thing I notice when trying out new earbuds.  If they&#8217;re not comfortable I won&#8217;t wear them so the sound quality doesn't come into play until they pass the comfort test.  These Belkins are very comfortable and I don&#8217;t feel like I have something stuck in my ear that needs to come out.Now for the sound quality.  Very good sound, with good distinctions between treble and bass.  I don&#8217;t like a lot of bass so I can&#8217;t comment on the &#8220;Extra Bass&#8221; that is mentioned in the description.  But for the money, these earbuds deliver the type of quality sound you would expect.	0
76	Works GREAT!	"Head unit is in a 2001 Malibu but I replaced the stock speakers with some nice Polks.I wanted to run my iPod nano so I purchased a ""Monster"" brand cassette adapter at Target as that was the only brand they sold. The bass / treble was poor (In case your using a Monster brand you have to max out the MP3 players volume and minimize the car stereo volume to prevent static)and the overall sound was ok at best. 90% of the volume traveled to the right side speakers which I THOUGHT was inherit of any cassette adapter. After only 2 weeks the Monster adapter (which by the way cost almost $20 !) broke. I returned it for another at Target which had the same crappy sound. This one worked for less then three months before the sound degraded so bad I threw it in the trash. Typical of Monster brand products they are massively over priced pieces of junk.Anyway, after reading all the reviews on the other adapters I purchased the XM by Belkin.(with the Belkin my iPod volume was best when locked at 50%)WOW, the sound is really clear and the bass sounds great too. The system now sounds like I have a CD player or ""proper"" MP3 connection. Sound is balanced almost perfectly on the speakers too. Ive only been using it for a week so I cant comment on durability. However for less then 1/4 the price of ""monstrous crap"" I have no problems buying another.5 stars!"	0
77	Two batteries AND a dual-power charger for less than one Panasonic battery	Too bad Panasonic felt compelled to punish owners using third-party batteries by disabling the &#34;power remaining&#34; indicator when these are installed. Fortunately, battery life is long enough that one will probably last all day, and if/when you need to swap you will probably only need to do it once. The charger worked well for me on both 120V (US) and 240V (non-US) electricity. I haven't tried it on a 12V (automobile) circuit, but it's a nice bonus to have that feature in case I ever need it.	0
78	Use for PS3 Controller	This works perfectly to charge my PS3 controller while playing games. The cable is the perfect length and very durable.	0
79	MY STAFF LOVE THESE	i have about a dozen of these because my staff uses them all of the time. plus for the price you can't go wrong with buying these.i use mines everyday as well.LOVE IT	0
80	Exceeded all my expectations for audio use	I bought this MP3 player more than a year and a half ago and I have been using it quite a bit ever since. It has exceeded all my expectations, and I am very happy with it. I even bought an extra two-year warranty thinking that any piece of portable electronics is likely to have some kind of problem within two years, and then I will be provided a new one after it breaks. Well, it looks like I'm going to be out that extra money, because it still works perfectly despite falling a few times from tables and chairs, etc.I have looked at videos and photos on this player, but the screen is a little small to really enjoy. The quality is pretty darn good for a 2-inch screen, but it's still a 2-inch screen. So I use it almost exclusively for audio -- mainly for listening while commuting, walking or jogging. It is perfect for that.The sync function works great with Windows Media Player 11. The battery life is good for at least eight hours of audio even after 1.5 years of steady use. The sound is really wonderful, although playback is so sensitive that the defects in low bitrate MP3s are more obvious than on other players I've used.The only big downside is the proprietary cable. Sony loves proprietary formats that no other companies use (they won't even put firewire on their computers -- they use a lame powerless version of it instead). So if you lose the cable, you have to go find a replacement and pay a premium. I wish Sony would just use a mini USB cable, but I'm not going to hold my breath.But I haven't lost or damaged my cable yet, so my experience has been entirely pleasant. I can highly recommend this player, and when I go to buy my next one, Sony will be high on the list of the products I consider.	0
