id	summary	text	category
10	Did not meet expectations	Absolute liars!!If you're buying these considering the 2 year warranty forget it cause they are useless as my earphones stopped working in under 3 months and they just give us useless advice and no real solution.just go and kill yourselves flipkart I feel sorry I trusted you guys..	0
11	Could be better	The cables when touch each other makes noise interruption, which is irritating. You need to keep them seperate.	0
12	Does the job	Pros:1. Good sound Quality, its heavier in the Bass. Volume level is loud enough in crowded train travelling. This is due some good sound isolation rubbers.2. Good Built - Cable are Braided, makes it tough for rough use.3. Value for Money. The product reads 2 years of Warranty - not sure tough what exactly is covered.Cons:1. The earpieces are tiny, so if you have big ears you will find the earpiece to be just being inside your ear canal. (Note I am talk about the earpiece and not Ear Buds.)The biggest Ear Bud is bigger than the Actual Ear Piece(body). You can imagine how tiny the Body of the Earpiece is. It is sometime difficult to use, specially in big hands.2. The Mic is located on the Y joint  of the Cables. The Y joint is Exactly 14 inches away from the Earpieces.. thats way below you can take calls properly.3. No Clip - since the mic is on the Y clip which is Way below than normal. It think a Clip could have Saved the problem.The small Box comes with a manual, warranty card, earphones, 3 different sizes of plugs, a carrying case.Overall for 499. I think its worth for a daily use. But if you are music freak and have plenty of phone calls to attend without the handset, there are better options available.	0
13	Absolute rubbish!	Bakwas, chines earphone ... Sound is so loud that it will hurt your ears. Don't waste your 500 on this. Better to go for branded earphone , you can get better for better than this.	0
14	Worst experience ever!	Microphone is not fixed well, its broken just like  that, with in two daysWorst productWe lost moneyDont sell the produt with this qualityNo starSorry	0
15	Classy product	Better Than Many Original Products Out There In Market .1. All those confusing reviews those are suggesting that "it has uncomfortable fit and it slips out " are completely deniable .It is superbly fit in ears and doesn't even slip out , its so light at 12g tht it is like air in ear .2. It is very effective for noise cancellation , and its metal finish is very smooth and effective .3. I have personally ordered 3 earphones back to back , and I am using gun metal colour which is fabulous and whatever the colour is sound is same .4. I compared it with Mi Earphones , Ubon , Philips , Samsung canal earphones and found it better .5. Its design is impressive too , kevlar cable gives it strength and also doesn't let sweat stick to it .6. I use it in gym , running and cycling , which is very hardcore use and I am the earphone person , and if I have loved it after using numerous other earphones in market so you'll love it too .Pros :Ergonomic DesignStrong CableVery LightEasy Fit in earCons : (which is not really a con )Mic is lil far away , which you can manage , not a big deal .Completely Loved It . Awesome Product .	0
16	Hated it!	Waste of money itll stop working in month and very bad policy of repair. Disgusted by this service never buy flipkarts smartbuy product they are really cheap in quality	0
17	Horrible	One side not working and Warrenty was fake ...	0
18	Terrible product	The quality is very poor.Though the ear buds are made of metal, mike casing is made of plastic which broke into 2 pieces on 3rd day itself.Even audio quality is also poor.Feels like cheap chinese road side ones.Better get boat earphones which sells at around 550Rs.They have good audio output and even the build quality is good.Thanks	0
19	Terrific	Hey!!! !it's so good and body too good and bass is good and Mic is very perfect so finnally will I enjoy it...........................thanks to flipkart	0
20	Bad experience.	Got defective one. Automatic sound increase, play music, stop music and many time headset not detected by lenovo vibe k5 note.	0
21	Delightful	Not working after only 3 months. Never buy flipkart smarbuy. You will look like a fool. No real warranty....	0
22	Delightful	Good pair of earphones. Everything is good, except the microphone. Its just too sensitive, the other person can hear the noise of microphone rubbing with cloths.	0
23	Good	I got in 330 so at this price I can give you 5/5 but not recommended at 550 also because base level is not good and it's ho in skullcandy but if you are getting in 350 then I would suggest to buy and not at 550 and mic is also good andActually I used sennhizer earphone so therfore I don't like any earphone but this is brought for my sister so it's good of built quality m impressed with thatAt 550 I will not recommend	0
24	Absolute rubbish!	Its not okay with that redmi 4	0
25	Hated it!	Not satisfied for sound & Mic quality. Irritating wire friction sound on our body touch.	0
26	Mind-blowing purchase	awesome no doubt in that...good sound quality ..and plus flipkart provided extra ear cushions that's great. I love the earplugs .value for money . don't think just buy.	0
27	Simply awesome	Bass is good.. And build quality is excellent.. Best at price range	0
28	Good	Headfones are good quality but it has treble more than bass here improvement is neededOther all features are good n pouch also provided with this product	0
29	Very poor	Not so good	0
30	Mind-blowing purchase	Great	0
31	Absolute rubbish!	Very horrible sound on high sound........This is not good. Low sound that was not getting song very low.......	0
32	Value-for-money	It's good...Worth the priceOnly problem is with bass	0
33	average quality product- headphone	1. Headphone wire quality is bad. 2.  Audio quality average.3. NO BASS effect.4. overall product quality is average	0
34	Useless product	After 48 days..., right side not working...	0
35	Worth every penny	Voice clarity is awsome and comming ti bass its not too much (doesn't irritate or cause ear pain ) not too less u gonna feel the mix ... best earphone for budget... and ear phone is soo handy.... proved again flipkart is the best...	0
36	Worth every penny	Bought only in 350/- with micromax canvas knight 2.Both sound quality and build quality is good.Cable is very good for those who use  eqrphone roughly.I didn't get the pouch of earphone.Bass is also very good.But no comparison with sennheiser cx180.	0
37	Best in the market!	Awesome	0
38	Fabulous!	best earphone in this price range awseome sound bass is not that too much high, it is perfect	0
39	Unsatisfactory	Please don't buy the product it is very very worst ever I experienced.  it got broken with in a month.   better you can go for some branded  products instead of flipkart smart buy. no replacement nothing for broken item after 10 days.  then why should we buy it for some 600 or 700	0
